"id","func_type","country_code","country_code_from","country_code_to","date_from","date_to","destination_table","schedule","name"
99,crossborder_flows,"",AT,DE,-1440,4320,entsoe_flows_data,*/16 * * * *,AT_to_DE_crossborder_flows
100,crossborder_flows,"",FR,DE,-1440,4320,entsoe_flows_data,*/16 * * * *,FR_to_DE_crossborder_flows
157,day_ahead_prices,AT,,,-4000,4320,entsoe_day_ahead_price_data,"35 14,15,16,23 * * *",AT_day_ahead_prices
158,day_ahead_prices,DK_1,,,-4000,4320,entsoe_day_ahead_price_data,"35 14,15,16,23 * * *",DK_1_day_ahead_prices
160,day_ahead_prices,FR,,,-4000,4320,entsoe_day_ahead_price_data,"35 14,15,16,23 * * *",FR_day_ahead_prices
161,day_ahead_prices,NL,,,-4000,4320,entsoe_day_ahead_price_data,"35 14,15,16,23 * * *",NL_day_ahead_prices
162,day_ahead_prices,PL,,,-4000,4320,entsoe_day_ahead_price_data,"35 14,15,16,23 * * *",PL_day_ahead_prices
102,crossborder_flows,"",NL,DE,-1440,4320,entsoe_flows_data,*/16 * * * *,NL_to_DE_crossborder_flows
103,crossborder_flows,"",PL,DE,-1440,4320,entsoe_flows_data,*/16 * * * *,PL_to_DE_crossborder_flows
104,crossborder_flows,"",BE,DE,-1440,4320,entsoe_flows_data,*/16 * * * *,BE_to_DE_crossborder_flows
105,crossborder_flows,"",CZ,DE,-1440,4320,entsoe_flows_data,*/16 * * * *,CZ_to_DE_crossborder_flows
106,crossborder_flows,"",CH,DE,-1440,4320,entsoe_flows_data,*/16 * * * *,CH_to_DE_crossborder_flows
107,scheduled_exchanges,"",DE,AT,-4320,4320,entsoe_scheduled_exchanges_data,"2 * * * *",DE_to_AT_scheduled_exchanges
108,scheduled_exchanges,"",DE,FR,-4320,4320,entsoe_scheduled_exchanges_data,"2 * * * *",DE_to_FR_scheduled_exchanges
109,scheduled_exchanges,"",DE,NL,-1440,4320,entsoe_scheduled_exchanges_data,*/16 * * * *,DE_to_NL_scheduled_exchanges
110,scheduled_exchanges,"",DE,PL,-4320,4320,entsoe_scheduled_exchanges_data,"2 * * * *",DE_to_PL_scheduled_exchanges
111,scheduled_exchanges,"",DE,BE,-4320,4320,entsoe_scheduled_exchanges_data,"2 * * * *",DE_to_BE_scheduled_exchanges
112,scheduled_exchanges,"",DE,CZ,-4320,4320,entsoe_scheduled_exchanges_data,"2 * * * *",DE_to_CZ_scheduled_exchanges
113,scheduled_exchanges,"",DE,CH,-4320,4320,entsoe_scheduled_exchanges_data,"2 * * * *",DE_to_CH_scheduled_exchanges
114,scheduled_exchanges,"",AT,DE,-4320,4320,entsoe_scheduled_exchanges_data,"3 * * * *",AT_to_DE_scheduled_exchanges
115,scheduled_exchanges,"",FR,DE,-4320,4320,entsoe_scheduled_exchanges_data,"3 * * * *",FR_to_DE_scheduled_exchanges
116,scheduled_exchanges,"",NL,DE,-1440,4320,entsoe_scheduled_exchanges_data,*/16 * * * *,NL_to_DE_scheduled_exchanges
117,scheduled_exchanges,"",PL,DE,-4320,4320,entsoe_scheduled_exchanges_data,"3 * * * *",PL_to_DE_scheduled_exchanges
118,scheduled_exchanges,"",BE,DE,-4320,4320,entsoe_scheduled_exchanges_data,"3 * * * *",BE_to_DE_scheduled_exchanges
119,scheduled_exchanges,"",CZ,DE,-4320,4320,entsoe_scheduled_exchanges_data,"3 * * * *",CZ_to_DE_scheduled_exchanges
120,scheduled_exchanges,"",CH,DE,-4320,4320,entsoe_scheduled_exchanges_data,"3 * * * *",CH_to_DE_scheduled_exchanges
123,aggregate_water_reservoirs_and_hydro_storage,FR,"","",-4000000,4320,entsoe_aggregate_water_reservoirs_and_hydro_storage_data,"0 16 * * *",FR_aggregate_water_reservoirs_and_hydro_storage
129,aggregate_water_reservoirs_and_hydro_storage,NO_2,"","",-4000000,4320,entsoe_aggregate_water_reservoirs_and_hydro_storage_data,"0 16 * * *",NO_2_aggregate_water_reservoirs_and_hydro_storage
131,aggregate_water_reservoirs_and_hydro_storage,CH,"","",-4000000,4320,entsoe_aggregate_water_reservoirs_and_hydro_storage_data,"0 16 * * *",CH_aggregate_water_reservoirs_and_hydro_storage
10,load_actual,NO_2,,,-1440,4320,entsoe_load_data,"7 * * * *",NO_2_load_actual
13,load_actual,CH,,,-1440,4320,entsoe_load_data,"7 * * * *",CH_load_actual
66,generation_actual,AT,,,-1440,4320,entsoe_generation_data,"11 * * * *",AT_generation_actual
67,generation_actual,DK_1,,,-1440,4320,entsoe_generation_data,"11 * * * *",DK_1_generation_actual
69,generation_actual,FR,,,-1440,4320,entsoe_generation_data,"11 * * * *",FR_generation_actual
70,generation_actual,NL,,,-1440,4320,entsoe_generation_data,"11 * * * *",NL_generation_actual
71,generation_actual,PL,,,-1440,4320,entsoe_generation_data,"11 * * * *",PL_generation_actual
72,generation_actual,BE,,,-1440,4320,entsoe_generation_data,"11 * * * *",BE_generation_actual
73,generation_actual,NO_1,,,-1440,4320,entsoe_generation_data,"11 * * * *",NO_1_generation_actual
74,generation_actual,DK_2,,,-1440,4320,entsoe_generation_data,"11 * * * *",DK_2_generation_actual
75,generation_actual,NO_2,,,-1440,4320,entsoe_generation_data,"11 * * * *",NO_2_generation_actual
76,generation_actual,CZ,,,-1440,4320,entsoe_generation_data,"11 * * * *",CZ_generation_actual
78,generation_actual,CH,,,-1440,4320,entsoe_generation_data,"11 * * * *",CH_generation_actual
199,day_ahead_prices,SE_2,,,-4000,4320,entsoe_day_ahead_price_data,"35 14,15,16,23 * * *",SE_2_day_ahead_prices
239,installed_generation_capacity,RO,,,-4000000,4320,entsoe_generation_data,"12 6 * * *",RO_installed_generation_capacity
240,load_forecast,DE_50HZ,,,-4320,4320,entsoe_load_data,"10 6 * * *",DE_50HZ_load_forecast
232,day_ahead_prices,RO,,,-4000,4320,entsoe_day_ahead_price_data,"35 14,15,16,23 * * *",RO_day_ahead_prices
243,load_forecast,DE_TRANSNET,,,-4320,4320,entsoe_load_data,"10 6 * * *",DE_TRANSNET_load_forecast
241,load_forecast,DE_AMPRION,,,-4320,4320,entsoe_load_data,"10 6 * * *",DE_AMPRION_load_forecast
242,load_forecast,DE_TENNET,,,-4320,4320,entsoe_load_data,"10 6 * * *",DE_TENNET_load_forecast
233,load_actual,RO,,,-4000,4320,entsoe_load_data,"7 * * * *",RO_load_actual
234,load_forecast,RO,,,-4000,4320,entsoe_load_data,"10 6 * * *",RO_load_forecast
235,wind_and_solar_forecasts,RO,,,-4000,4320,entsoe_wind_and_solar_data,"11 6 * * *",RO_wind_and_solar_forecasts
236,intraday_wind_and_solar_forecast,RO,,,-4000,4320,entsoe_wind_and_solar_data,"13 * * * *",RO_intraday_wind_and_solar_forecast
237,generation_forecast,RO,,,-4000,4320,entsoe_generation_data,"12 6 * * *",RO_generation_forecast
238,generation_actual,RO,,,-4000,4320,entsoe_generation_data,"11 * * * *",RO_generation_actual
